"logFC","P.Value","adj.P.Val","gene"
1.4625,4.57897646661567e-16,1.22106039109751e-14,"G002"
1.4625,4.57897646661567e-16,1.22106039109751e-14,"G007"
1.4625,4.57897646661567e-16,1.22106039109751e-14,"G012"
1.525,1.49028517073788e-15,1.70318305227201e-14,"G004"
1.525,1.49028517073792e-15,1.70318305227201e-14,"G005"
1.525,1.49028517073801e-15,1.70318305227201e-14,"G009"
1.525,1.49028517073792e-15,1.70318305227201e-14,"G010"
1.49375,2.56807038065963e-15,1.71204692044001e-14,"G001"
1.49375,2.56807038066001e-15,1.71204692044001e-14,"G003"
1.49375,2.56807038065963e-15,1.71204692044001e-14,"G006"
1.49375,2.56807038066001e-15,1.71204692044001e-14,"G008"
1.49375,2.56807038065976e-15,1.71204692044001e-14,"G011"
0.0250000000000004,0.524065760539528,0.791042657418196,"G014"
0.0250000000000004,0.524065760539527,0.791042657418196,"G015"
-0.0375000000000014,0.304713162032274,0.791042657418196,"G017"
0.0250000000000004,0.524065760539528,0.791042657418196,"G019"
0.0250000000000004,0.524065760539527,0.791042657418196,"G020"
-0.0375000000000014,0.304713162032274,0.791042657418196,"G022"
0.0250000000000004,0.524065760539528,0.791042657418196,"G024"
0.0250000000000004,0.524065760539527,0.791042657418196,"G025"
-0.0375000000000005,0.304713162032265,0.791042657418196,"G027"
0.0250000000000004,0.524065760539525,0.791042657418196,"G029"
0.0250000000000004,0.524065760539527,0.791042657418196,"G030"
-0.0375000000000005,0.304713162032265,0.791042657418196,"G032"
0.0250000000000004,0.524065760539525,0.791042657418196,"G034"
0.0250000000000021,0.524065760539555,0.791042657418196,"G035"
-0.0375000000000005,0.304713162032265,0.791042657418196,"G037"
0.0250000000000004,0.524065760539528,0.791042657418196,"G039"
0.0250000000000021,0.524065760539555,0.791042657418196,"G040"
-0.0375000000000005,0.304713162032265,0.791042657418196,"G042"
0.0250000000000004,0.524065760539528,0.791042657418196,"G044"
0.0250000000000004,0.524065760539527,0.791042657418196,"G045"
-0.0375000000000014,0.304713162032274,0.791042657418196,"G047"
0.0250000000000004,0.524065760539528,0.791042657418196,"G049"
0.0250000000000004,0.524065760539527,0.791042657418196,"G050"
-0.0375000000000014,0.304713162032274,0.791042657418196,"G052"
0.0250000000000004,0.524065760539528,0.791042657418196,"G054"
0.0250000000000004,0.524065760539527,0.791042657418196,"G055"
-0.0375000000000005,0.304713162032265,0.791042657418196,"G057"
0.0250000000000004,0.524065760539525,0.791042657418196,"G059"
0.0250000000000004,0.524065760539527,0.791042657418196,"G060"
-0.0375000000000005,0.304713162032265,0.791042657418196,"G062"
0.0250000000000004,0.524065760539525,0.791042657418196,"G064"
0.0250000000000021,0.524065760539555,0.791042657418196,"G065"
-0.0375000000000005,0.304713162032265,0.791042657418196,"G067"
0.0250000000000004,0.524065760539528,0.791042657418196,"G069"
0.0250000000000021,0.524065760539555,0.791042657418196,"G070"
-0.0375000000000005,0.304713162032265,0.791042657418196,"G072"
0.0250000000000004,0.524065760539528,0.791042657418196,"G074"
0.0250000000000004,0.524065760539527,0.791042657418196,"G075"
-0.0375000000000014,0.304713162032274,0.791042657418196,"G077"
0.0250000000000004,0.524065760539528,0.791042657418196,"G079"
0.0250000000000004,0.524065760539527,0.791042657418196,"G080"
-0.00625000000000053,0.868837661402138,0.868837661402156,"G013"
-0.00624999999999964,0.868837661402156,0.868837661402156,"G016"
-0.00625000000000053,0.868837661402138,0.868837661402156,"G018"
-0.00624999999999964,0.868837661402156,0.868837661402156,"G021"
-0.00625000000000142,0.868837661402156,0.868837661402156,"G023"
-0.00624999999999964,0.868837661402156,0.868837661402156,"G026"
-0.00625000000000142,0.868837661402156,0.868837661402156,"G028"
-0.00624999999999964,0.868837661402156,0.868837661402156,"G031"
-0.00625000000000053,0.868837661402138,0.868837661402156,"G033"
-0.00624999999999964,0.868837661402156,0.868837661402156,"G036"
-0.00625000000000053,0.868837661402138,0.868837661402156,"G038"
-0.00624999999999964,0.868837661402156,0.868837661402156,"G041"
-0.00625000000000053,0.868837661402138,0.868837661402156,"G043"
-0.00624999999999964,0.868837661402156,0.868837661402156,"G046"
-0.00625000000000053,0.868837661402138,0.868837661402156,"G048"
-0.00624999999999964,0.868837661402156,0.868837661402156,"G051"
-0.00625000000000142,0.868837661402156,0.868837661402156,"G053"
-0.00624999999999964,0.868837661402156,0.868837661402156,"G056"
-0.00625000000000142,0.868837661402156,0.868837661402156,"G058"
-0.00624999999999964,0.868837661402156,0.868837661402156,"G061"
-0.00625000000000053,0.868837661402138,0.868837661402156,"G063"
-0.00624999999999964,0.868837661402156,0.868837661402156,"G066"
-0.00625000000000053,0.868837661402138,0.868837661402156,"G068"
-0.00624999999999964,0.868837661402156,0.868837661402156,"G071"
-0.00625000000000053,0.868837661402138,0.868837661402156,"G073"
-0.00624999999999964,0.868837661402156,0.868837661402156,"G076"
-0.00625000000000053,0.868837661402138,0.868837661402156,"G078"
